;JANVIERp;FEVRIERp;MARSp;AVRILp;MAIp;JUINp;JUILLETp;AOUTp;SEPTEMBREp;OCTOBREp;NOVEMBREp;DECEMBREp;Précipitations annuelles;JANVIERnb.j.pl;FEVRIERnb.j.pl;MARSnb.j.pl;AVRILnb.j.pl;MAInb.j.pl;JUINnb.j.pl;JUILLETnb.j.pl;AOUTnb.j.pl;SEPTEMBREnb.j.pl;OCTOBREnb.j.pl;NOVEMBREnb.j.pl;DECEMBREnb.j.pl;Nombre annuel de jours de pluie;Température moyenne annuelle;Amplitude annuelle des températures;Insolation annuelle;Latitude;Longitude;Précipitations de mai à aout;Précipitations sept-oct;Géographie
Embrun;61;55;55;48;47;63;41;65;60;60;81;62;698;9;9;8;9;11;10;7;8;8;9;10;10;108;9.49;18.4;2604;44.34;6.3;30.9;32.1;Sud
Grenoble;80;79;69;69;83;94;74;96;88;85;90;98;1005;14;11;11;12;14;11;10;11;11;12;13;14;144;10.98;18.6;2100;45.1;5.43;34.5;34.5;Est
Lille;45;43;38;37;45;57;62;64;53;56;56;56;612;18;14;13;14;13;12;13;13;14;14;16;17;171;9.73;14.7;1641;50.38;3.04;37.3;37.1;Nord
Limoges;87;75;68;69;72;71;56;73;87;72;82;98;910;17;14;13;13;14;12;12;12;12;14;15;17;165;10.59;15.3;1853;45.5;1.16;29.9;33;Ouest
Lyon;53;50;60;54;67;84;55;104;86;73;80;62;828;15;12;11;11;13;11;10;11;11;12;14;14;145;11.36;18.6;2036;45.45;4.51;37.4;42.1;Est
Marseille;36;49;40;35;38;33;13;27;65;67;69;61;533;8;6;7;6;7;4;2;4;6;8;8;10;76;14.23;17.8;2866;43.18;5.24;20.8;41;Sud
Montpellier;56;59;69;46;47;41;20;52;78;125;70;73;736;8;6;8;8;9;5;3;6;7;9;9;10;88;13.89;17.1;2709;43.36;3.53;21.7;44.9;Sud
Nancy;66;58;43;45;62;70;58;76;65;52;59;67;721;16;13;12;13;13;13;12;13;12;13;15;16;161;9.5;17.5;1633;48.41;6.12;36.9;33.9;Est
Nantes;83;65;53;48;54;52;42;66;80;77;95;94;809;18;14;14;11;13;11;12;12;14;15;16;18;168;11.69;13.8;1901;47.13;-1.33;26.5;33.6;Ouest
Nice;67;83;71;70;39;37;21;38;83;109;158;92;868;9;7;8;9;8;5;2;4;7;9;9;9;86;14.84;15.2;2779;43.42;7.15;15.6;33.1;Sud
Nîmes;52;53;57;45;50;40;25;40;75;100;83;60;680;8;6;9;8;9;6;4;6;7;9;10;10;92;14.18;17.9;2628;43.5;4.21;22.8;43.2;Sud
Orléans;57;48;43;46;52;54;47;54;51;54;61;54;621;16;13;12;12;13;11;11;12;12;13;15;16;156;10.53;15.7;1799;47.55;1.54;33.3;33.1;Ouest
Paris;53;48;40;45;53;57;54;61;54;50;58;51;624;17;14;12;13;12;12;12;13;13;13;15;16;162;11.18;15.7;1814;48.52;2.2;36.1;34.7;Nord
Perpignan;27;52;59;47;49;33;27;28;69;97;70;71;629;7;6;8;7;9;7;5;6;7;8;6;9;85;15.24;16.3;2603;42.41;2.53;21.8;44.1;Sud
Poitiers;65;58;56;49;55;55;46;59;52;61;78;68;702;16;13;13;12;14;11;10;11;12;12;15;16;155;11.28;15.1;2024;46.35;0.2;30.6;29.3;Ouest
Reims;43;44;42;37;52;53;47;58;54;43;52;50;575;17;15;12;13;13;13;12;13;12;13;16;16;165;10.06;16.4;1702;49.15;4.02;36.5;35.4;Est
Rennes;57;50;45;43;46;48;36;57;53;60;73;66;634;18;14;14;12;13;11;12;12;13;15;16;18;168;11.13;13.1;1835;48.05;-1.41;29.5;32.2;Ouest
Rouen;65;58;50;44;50;57;49;67;70;72;68;66;716;17;15;12;12;13;12;12;13;13;15;16;18;168;10.34;14.2;1694;49.26;1.05;31.1;37.5;Nord
St-Quentin;52;50;46;44;52;63;61;69;67;52;63;65;684;17;14;12;12;12;12;13;14;13;14;15;16;164;9.85;16.4;1661;49.51;3.17;35.8;36.3;Nord
Strasbourg;51;44;42;58;71;88;73;90;61;43;51;47;719;15;13;12;13;13;14;14;13;12;12;13;14;158;9.72;18.6;1696;48.35;7.45;44.8;37.4;Est
Toulon;76;86;82;60;49;35;12;31;77;105;117;107;837;9;6;8;7;7;4;2;4;5;9;9;11;81;15.28;14;2917;43.07;5.56;15.2;31.8;Sud
Toulouse;53;50;52;55;65;65;44;43;57;49;58;65;656;14;12;11;12;13;10;9;9;10;11;12;14;137;12.68;16.2;2081;43.36;1.26;33.1;32.4;Sud
Tours;63;55;52;51;53;58;47;60;60;55;68;65;687;16;13;12;12;13;11;11;12;13;13;15;16;157;11.22;15.6;1859;47.23;0.41;31.7;32.1;Ouest
Vichy;50;45;51;52;84;84;63;86;75;58;58;55;761;17;14;12;13;14;12;11;12;12;13;15;16;161;10.72;16.9;1873;46.08;3.26;41.7;42;Est
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p=pluviométrie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nb.j.pl=nb de jours de pluie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
